pieces,result,game_ending,end_time,moves,white_rating,white_accuracy,black_rating,black_accuracy,white_seconds,black_seconds,time_control,time_class
white,win,resigned,1659387647,24,1149,,1120,,387.6,513.6,600,rapid
black,win,resigned,1659388169,25,1113,,1156,,442.8,260.2,600,rapid
black,loss,resigned,1659444004,28,1141,,1147,,456.8,356.0,600,rapid
white,draw,agreed,1659445056,52,1146,,1109,,71.6,121.0,600,rapid
white,loss,resigned,1659450843,8,1139,,1179,,562.1,564.2,600,rapid
black,win,resigned,1659451086,11,1160,76.7,1148,93.8,468.0,499.2,600,rapid
black,win,checkmated,1659466805,75,1138,77.22,1156,80.62,55.2,112.5,600,rapid
white,win,checkmated,1659474398,21,1166,63.5,1245,47.96,443.9,448.2,600,rapid
white,win,checkmated,1659632693,25,1173,91.64,1118,77.11,467.6,470.1,600,rapid
black,win,checkmated,1659645783,60,1146,65.46,1181,76.39,189.7,191.6,600,rapid
black,win,timeout,1659691560,45,1162,73.39,1189,74.99,6.2,140.2,600,rapid
white,win,resigned,1659700358,7,1196,100.0,1151,77.54,584.6,563.2,600,rapid
white,loss,resigned,1659701810,8,1188,78.75,1193,87.63,574.2,587.8,600,rapid
white,loss,resigned,1659702610,52,1180,71.36,1207,77.56,167.7,169.4,600,rapid
black,loss,resigned,1659702927,12,1216,,1173,,574.2,525.8,600,rapid
black,loss,resigned,1659703282,27,1229,,1166,,425.1,450.1,600,rapid
white,win,resigned,1659706813,42,1175,70.04,1198,61.22,260.5,214.3,600,rapid
black,win,resigned,1659729499,40,1168,68.36,1183,76.26,21.0,44.5,600,rapid
black,loss,checkmated,1659783505,26,1180,83.66,1175,70.42,213.8,234.1,600,rapid
white,loss,checkmated,1659807874,56,1167,77.76,1195,80.85,17.1,17.2,600,rapid
white,win,resigned,1659872900,21,1176,74.34,1182,65.1,410.9,321.7,600,rapid
black,win,timeout,1659874064,31,1121,,1183,,129.6,318.5,600,rapid
white,loss,checkmated,1659877090,42,1176,,1248,,275.4,276.1,600,rapid
black,win,checkmated,1659877985,27,1122,61.35,1183,69.29,79.3,261.4,600,rapid
white,win,checkmated,1659884409,23,1190,,1139,,471.4,400.0,600,rapid
white,loss,resigned,1659886129,30,1181,68.1,1173,71.02,112.2,191.4,600,rapid
black,loss,resigned,1659886884,12,1169,95.72,1173,63.5,561.4,552.5,600,rapid
white,win,resigned,1659887371,27,1180,,1132,,418.1,382.0,600,rapid
white,loss,resigned,1659994960,28,1171,72.63,1159,78.18,255.5,292.9,600,rapid
black,draw,stalemate,1659995433,47,1183,,1171,,427.6,381.6,600,rapid
black,win,resigned,1659995906,38,1137,,1178,,440.0,369.7,600,rapid
black,draw,stalemate,1660057322,73,1134,66.61,1177,69.31,226.0,16.0,600,rapid
white,win,abandoned,1660071774,31,1185,,1179,,313.1,528.6,600,rapid
white,loss,checkmated,1660072665,79,1178,73.94,1258,72.92,134.4,241.3,600,rapid
white,loss,resigned,1660149093,30,1169,,1163,,420.2,425.5,600,rapid
black,loss,resigned,1660151120,15,1186,,1161,,543.0,451.5,600,rapid
black,loss,timeout,1660152641,35,1161,69.09,1153,66.51,123.1,1.4,600,rapid
white,loss,resigned,1660152754,28,1011,,1144,,19904.0,25402.0,1/86400,daily
black,win,timeout,1660212955,34,1182,80.69,1162,76.31,0.5,140.0,600,rapid
black,loss,resigned,1660218096,36,1147,75.46,1153,73.09,152.3,181.3,600,rapid
white,loss,checkmated,1660239133,16,1145,36.17,1170,61.71,469.5,467.8,600,rapid
white,loss,resigned,1660239599,20,1137,75.94,1161,93.68,438.7,507.1,600,rapid
black,loss,resigned,1660240461,33,1103,79.32,1128,68.85,252.3,106.5,600,rapid
black,win,resigned,1660250431,58,1151,71.22,1137,78.39,273.6,25.2,600,rapid
white,loss,checkmated,1660297020,69,1129,70.1,1160,74.98,7.9,8.0,600,rapid
white,win,timeout,1660298476,25,1136,82.04,1099,77.96,195.7,41.1,600,rapid
black,draw,repetition,1660302022,60,1063,66.97,1134,67.97,43.8,8.4,600,rapid
white,win,resigned,1660316290,9,1143,88.89,1154,69.42,562.2,575.2,600,rapid
white,loss,resigned,1660316694,20,1135,69.57,1147,76.9,441.2,447.2,600,rapid
black,win,checkmated,1660324702,30,1102,66.76,1142,80.29,357.8,361.3,600,rapid
black,win,checkmated,1660326016,26,671,66.74,766,86.85,52.5,67.0,180,blitz
black,loss,timeout,1660327493,30,787,,722,,49.1,4.9,180,blitz
white,win,resigned,1660329093,18,765,,734,,119.9,145.7,180,blitz
black,win,timeout,1660329554,31,806,,807,,0.3,1.0,180,blitz
black,win,resigned,1660330071,33,799,,840,,63.7,90.1,180,blitz
black,win,timeout,1660330456,31,877,,874,,1.3,20.8,180,blitz
white,loss,checkmated,1660331700,33,847,,888,,37.0,33.1,180,blitz
white,win,checkmated,1660331979,31,876,,876,,77.8,80.6,180,blitz
white,loss,timeout,1660333147,38,851,76.73,875,72.79,3.6,47.1,180,blitz
black,win,checkmated,1660335202,27,821,,872,,50.7,58.2,180,blitz
white,loss,timeout,1660382165,46,855,,944,,5.5,13.3,180,blitz
black,loss,checkmated,1660382472,40,822,,833,,27.6,30.0,180,blitz
white,loss,resigned,1660382487,3,814,,844,,178.9,178.7,180,blitz
black,loss,checkmated,1660382738,34,850,88.35,798,71.79,101.0,103.0,180,blitz
black,loss,checkmated,1660383021,31,788,,780,,5.9,96.4,180,blitz
white,win,timeout,1660383391,49,794,,728,,46.4,0.5,180,blitz
black,loss,checkmated,1660383878,53,749,,776,,1.6,1.9,180,blitz
black,win,timeout,1660384262,37,770,,791,,1.0,26.8,180,blitz
